,precision,recall,f1-score,support,time,acc
crim13_iddfs-near_010,0.44684896715204875,0.5,0.4719326763338931,295300.0,61754.87908363342,0.8936979343040975
crim13_astar-near_010,0.44684896715204875,0.5,0.4719326763338931,295300.0,44204.02181959152,0.8936979343040975
crim13_enumeration_010,0.44684896715204875,0.5,0.4719326763338931,295300.0,81125.32658076286,0.8936979343040975
crim13_ours_astar-near_000,0.4940087395172424,0.4967333382102376,0.49133346594999167,295300.0,41.10735487937927,0.8493057907213004
crim13_ours_astar-near_001,0.4996704333254145,0.4999760383635877,0.476863653568883,295300.0,43.479607820510864,0.8882119878090078
crim13_ours_astar-near_002,0.4996704333254145,0.4999760383635877,0.476863653568883,295300.0,43.4796724319458,0.8882119878090078
crim13_ours_astar-near_003,0.05315103284795124,0.5,0.0960877404030108,295300.0,43.47970628738403,0.1063020656959025
crim13_ours_astar-near_004,0.4928386387646004,0.4990969635795194,0.47855934665611766,295300.0,43.47974634170532,0.8838062986793092
crim13_ours_astar-near_005,0.525263326316671,0.5073407228245969,0.12616143144950764,295300.0,44.830551862716675,0.13146291906535723
crim13_ours_astar-near_006,0.4739055882574212,0.4313908693624058,0.3824967070136806,295300.0,44.83059358596802,0.4854656281747376
crim13_ours_astar-near_007,0.5115846451952213,0.5068665778716592,0.1542540334941095,295300.0,46.84500169754028,0.1560751777853031
crim13_ours_astar-near_008,0.5229836784071078,0.506994674073376,0.1273172465649886,295300.0,48.13345813751221,0.13242465289536065
crim13_ours_astar-near_009,0.500912239160358,0.502356008432851,0.43377302802232637,295300.0,48.13349533081055,0.5545411445987132
reported_program,0.44684896715204875,0.5,0.4719326763338931,295300.0,0.0,0.8936979343040975
